10.47.50.215,172.217.10.206,50663,https,udp,119,53,66,61413,27061,34352,1555360355,23,2
10.47.50.215,40.136.10.140,62211,https,udp,1036,274,762,1050917,20979,1029938,1555360355,28,2
10.47.50.215,74.125.159.27,63597,https,udp,2409,379,2030,2806124,28157,2777967,1555360355,18,2
10.47.50.215,40.136.10.150,51054,https,udp,135,47,88,120813,4352,116461,1555360369,0,2
10.47.50.215,40.97.147.18,57641,https,tcp,1215,613,602,295503,41875,253628,1555360384,1,2
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
