172.31.40.132,64.233.177.93,34664,443,tcp,2350,930,1420,1480097,411106,1068991,293,1
172.31.40.132,173.194.55.107,35130,443,tcp,12099,719,11380,16589956,68767,16521189,93,1
10.163.94.207,74.125.159.24,49427,443,tcp,8765,1116,7649,11209133,95878,11113255,65,1
172.16.160.229,173.194.162.11,35490,443,tcp,1470,333,1137,1671886,25359,1646527,19,1
10.31.97.174,173.194.162.23,54751,443,tcp,3419,1083,2336,3487388,92108,3395280,33,1
10.31.103.107,172.217.12.110,57131,443,tcp,1820,864,956,1279699,68542,1211157,497,1
10.21.80.116,172.217.10.174,60254,443,tcp,1623,766,857,894754,99394,795360,345,1
10.31.60.220,64.233.177.136,62559,443,tcp,1156,506,650,820079,54229,765850,334,1
10.31.184.143,74.125.159.71,52736,443,tcp,7092,2128,4964,7378126,150686,7227440,149,1
172.21.156.177,172.217.129.6,62653,443,tcp,126749,37063,89686,131927710,2305674,129622036,314,1
172.25.233.214,173.194.162.43,56455,443,tcp,10613,2519,8094,11887011,152732,11734279,53,1
10.47.92.122,64.233.177.136,51577,443,tcp,2231,852,1379,638274,310547,327727,2245,1
10.21.241.217,172.217.12.110,63205,443,tcp,1519,553,966,1376920,50401,1326519,404,1
10.47.254.67,173.194.191.104,62811,443,tcp,30422,6493,23929,35267558,465439,34802119,484,1
10.31.16.71,173.194.191.105,62122,443,tcp,2111,528,1583,2256458,38707,2217751,50,1
10.47.167.107,172.217.129.71,53332,443,tcp,1593,754,839,1246060,66911,1179149,64,1
172.21.31.121,172.217.129.104,59769,443,tcp,7308,1545,5763,8451044,143226,8307818,336,1
172.21.31.121,173.194.191.104,59907,443,tcp,9546,2830,6716,9974271,247458,9726813,48,1
172.22.112.166,64.233.185.136,59859,443,tcp,1774,836,938,343819,192206,151613,2306,1
10.31.185.22,172.217.129.6,57531,443,tcp,40941,8300,32641,47997725,675807,47321918,157,1
10.47.223.247,74.125.159.138,64368,443,tcp,7236,3345,3891,5901817,240973,5660844,60,1
172.22.52.205,172.217.164.78,56938,443,tcp,1087,337,750,758795,66740,692055,305,1
10.163.19.212,23.222.74.246,61263,443,tcp,1005,397,608,920809,34022,886787,143,2
10.32.28.243,93.184.215.201,55800,443,tcp,1561,378,1183,1644783,38018,1606765,436,2
10.47.139.248,23.222.74.246,50057,443,tcp,1064,489,575,841396,38518,802878,59,2
10.47.139.248,23.222.74.246,50126,443,tcp,3335,1430,1905,2894490,103096,2791394,56,2
10.47.142.119,23.4.14.232,59693,443,tcp,1066,488,578,799119,40340,758779,123,2
128.163.154.220,23.222.74.246,39264,443,tcp,4692,596,4096,5934390,48862,5885528,70,2
10.32.28.243,23.222.74.246,55787,443,tcp,4174,613,3561,5221210,43924,5177286,59,2
10.47.130.47,93.184.215.201,50366,443,tcp,2369,832,1537,2345125,63966,2281159,234,2
10.47.202.163,23.222.74.246,61026,443,tcp,1102,424,678,972429,31176,941253,200,2
10.21.217.157,23.32.77.5,49157,80,tcp,1071,358,713,1096993,21824,1075169,28,2
128.163.232.200,23.222.74.246,57434,443,tcp,3175,395,2780,3994498,33294,3961204,89,2
128.163.143.239,23.222.74.246,59114,443,tcp,2830,329,2501,3659764,28444,3631320,102,2
10.47.20.153,23.222.74.246,61100,443,tcp,1008,460,548,785361,36256,749105,65,2
10.47.88.185,23.222.74.246,50838,443,tcp,4172,2064,2108,3220248,157181,3063067,160,2
10.31.222.231,23.222.74.246,59545,443,tcp,1067,258,809,1121974,22279,1099695,62,2
10.31.52.235,54.153.7.213,61351,10602,tcp,5062,2420,2642,1980961,167287,1813674,4032,2
10.31.96.174,23.222.74.246,54363,443,tcp,1241,517,724,1024207,43737,980470,96,2
10.47.64.242,23.222.74.246,52956,443,tcp,2949,1323,1626,2402639,99957,2302682,63,2
10.47.139.248,23.222.74.246,50125,443,tcp,1153,512,641,954976,39258,915718,57,2
10.47.142.119,23.222.74.246,59719,443,tcp,6593,2920,3673,5586763,212631,5374132,67,2
10.47.142.119,23.222.74.246,59637,443,tcp,2004,942,1062,1497728,73999,1423729,94,2
10.47.254.100,23.222.74.246,59768,443,tcp,5429,2343,3086,4680845,172412,4508433,94,2
10.47.220.24,23.222.74.246,49994,443,tcp,4270,1915,2355,3526226,145650,3380576,99,2
10.21.206.129,104.98.49.171,56187,443,tcp,1426,554,872,1202039,43221,1158818,82,2
10.47.55.207,23.222.74.246,51713,443,tcp,7865,3622,4243,6495761,263840,6231921,108,2
10.47.201.232,23.222.74.246,50478,443,tcp,1148,521,627,921674,40924,880750,58,2
10.31.182.73,104.196.203.97,59211,30003,udp,21479,10729,10750,4423424,1045989,3377435,575,2
128.163.143.242,23.222.74.246,59500,443,tcp,3457,337,3120,4487879,29680,4458199,100,2
10.47.70.78,23.222.74.246,52761,443,tcp,1052,349,703,1028156,25594,1002562,62,2
10.47.70.78,23.222.74.246,52804,443,tcp,1688,589,1099,1650082,38643,1611439,62,2
10.163.19.212,23.222.74.246,61412,443,tcp,3893,808,3085,4474978,62173,4412805,114,2
